設備ID,発電事業者名,代表者名,事業者の住所,事業者の電話番号,発電設備区分,発電出力（kW）,発電設備の所在地,他の筆数,太陽電池の合計出力（kW）,新規認定日,運転開始報告年月,パワーコンディショナーの自立運転機能の有無,給電用コンセントの有無,廃棄費用の積立方法,廃棄費用の積立状況,調達期間終了年月
A847925E25,有限会社　岡谷,岡谷　龍一,近江八幡市中小森町５６２,0748-33-7486,太陽光,40.2,滋賀県高島市安曇川町下小川２４３６－１,0,40.2,7月11日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A847926E25,有限会社　岡谷,岡谷　龍一,近江八幡市中小森町５６２,0748-33-7486,太陽光,23.6,滋賀県高島市安曇川町下小川２０５１－９,0,23.6,7月11日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A847990E25,湖東興産株式会社,今若　伸男,東近江市上中野町９５６番地,0749-46-1570,太陽光,49.5,滋賀県東近江市市辺町字野瀬３９３９－１,0,60.0,7月11日2014年,2014年12月,-,-,外部積立て,-,2034年11月
A848075E25,小山　繁松,,,,太陽光,20.2,滋賀県甲賀市甲南町深川１９３２,0,22.0,7月11日2014年,2014年10月,-,-,外部積立て,-,2034年8月
A848080E25,渡辺　庄一,,,,太陽光,49.5,滋賀県東近江市中小路町４０３－１,0,51.0,7月11日2014年,2015年9月,-,-,外部積立て,-,2035年8月
A848094E25,梅田　麻由美,,,,太陽光,41.8,滋賀県近江八幡市上田町字当田１６４－３,1,41.8,7月11日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A848155E25,有限会社　経ケ阪瓦店,経ケ阪　俊彦,宝塚市小林１－６－２２,0797-71-7274,太陽光,20.0,滋賀県高島市安曇川町中野字臼谷１２４４－９０２,0,20.0,7月11日2014年,2014年9月,-,-,外部積立て,-,2034年7月
A848158E25,株式会社ひなや,伊豆藏直人,京都市上京区新町通上立売上ル安楽小路町４１８－１,075-441-0254,太陽光,38.5,滋賀県高島市朽木古川藤森平３２７,0,41.5,7月11日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A848164E25,谷川　春子,,,,太陽光,49.9,滋賀県犬上郡多賀町敏満寺５６４－１,0,50.0,7月11日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A848201E25,太田　育子,,,,太陽光,43.5,滋賀県近江八幡市馬淵町２０８－４,0,46.6,7月11日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A848202E25,太田　進,,,,太陽光,49.5,滋賀県近江八幡市東川町８５５,0,51.0,7月11日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A848252E25,松野工務店,松野悟史,東近江市湯屋町５４４,0749-45-1282,太陽光,49.5,滋賀県東近江市湯屋町５００－７,0,49.5,7月11日2014年,2015年5月,-,-,外部積立て,-,2035年3月
A848275E25,株式会社　久保工業,久保　猛,米原市磯１２０２－３,0749-50-6298,太陽光,49.5,滋賀県米原市入江１５７７,0,55.8,7月11日2014年,2014年10月,-,-,外部積立て,-,2034年9月
A848302E25,有限会社　オートショップビッグワン,鵜飼　秀昭,甲賀市甲南町野尻５５,0748-86-6055,太陽光,22.6,滋賀県甲賀市甲南町野尻５５,0,24.9,7月11日2014年,2014年10月,-,-,外部積立て,-,2034年8月
A848325E25,有限会社　上田花園,上田　太治,愛知郡愛荘町目加田２４４１－２,0749-42-2323,太陽光,46.8,滋賀県愛知郡愛荘町目加田２４４１－２,0,49.0,7月11日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A848349E25,辻　由圭,,,,太陽光,31.2,滋賀県湖南市岩根１３８０,0,31.2,7月11日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A848354E25,株式会社　ラック,與田　圭一,栗東市安養寺７丁目２番９号,077-554-3800,太陽光,49.6,滋賀県栗東市安養寺７－２－９,0,49.6,7月11日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A848364E25,野口　重雄,,,,太陽光,22.0,滋賀県甲賀市甲賀町神１７１４,0,22.0,7月11日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A848396E25,株式会社　智財,加藤　明久,米原市多和田１０３４番地２,0749-54-0823,太陽光,49.5,滋賀県米原市多和田１１０３－１,0,49.5,7月11日2014年,2017年4月,-,-,外部積立て,-,2037年3月
A848399E25,八田　仁左衛門,,,,太陽光,23.3,滋賀県近江八幡市大中町６４６－３,0,23.3,7月11日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A848776E25,牧田　和幸,,,,太陽光,23.6,滋賀県湖南市岩根３３９９－７,0,24.9,7月14日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A848817E25,有限会社　宮川石油,宮川　博史,犬上郡豊郷町吉田１４８０－５,0749-35-2561,太陽光,49.5,滋賀県愛知郡愛荘町安孫子９４４－１,1,51.8,7月14日2014年,2015年6月,-,-,外部積立て,-,2035年5月
A848820E25,松村　博之,,,,太陽光,39.6,滋賀県彦根市田附町６２９,0,45.9,7月14日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A848835E25,株式会社岡本組,岡本　明,福井県敦賀市津内６７号３番地の１,0770-22-0574,太陽光,48.9,滋賀県長浜市西浅井町大浦字羽生１１７３－１,0,48.9,7月14日2014年,2014年12月,-,-,外部積立て,-,2034年11月
A849205E25,株式会社　モトイ,中江義雄,近江八幡市上田町１２９０－６,0748-37-7378,太陽光,20.0,滋賀県近江八幡市上田町１２９０－６,0,20.0,7月17日2014年,2014年10月,-,-,外部積立て,-,2034年8月
A849265E25,株式会社　スギテック,杉江孝幸,野洲市西河原５８１,077-532-4648,太陽光,40.0,滋賀県野洲市吉川２６１２,0,44.8,7月17日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A849320E25,今井　敬久,,,,太陽光,48.0,滋賀県甲賀市土山町北土山字高座野２９２３,0,48.0,7月17日2014年,2016年7月,-,-,外部積立て,-,2036年5月
A849332E25,株式会社さかい,酒井　清裕,野洲市小篠原７－１,077-587-1178,太陽光,24.9,滋賀県野洲市小篠原７－１,0,26.6,7月17日2014年,2014年11月,-,-,外部積立て,-,2034年10月
A850516E25,川口　久隆,,,,太陽光,49.2,滋賀県彦根市川瀬馬場町４１８,0,55.4,7月28日2014年,2016年3月,-,-,外部積立て,-,2036年1月
A850517E25,江守　弘光,,,,太陽光,49.5,滋賀県大津市八屋戸字亀ノ尾１７５５－１,0,55.8,7月28日2014年,2015年1月,-,-,外部積立て,-,2034年12月
A850518E25,江守　弘光,,,,太陽光,49.5,滋賀県大津市八屋戸字野畑１８４４－１,0,56.4,7月28日2014年,2015年1月,-,-,外部積立て,-,2034年12月
A850557E25,西澤　清正,,,,太陽光,22.0,滋賀県犬上郡豊郷町大字沢字宮前３２－１,0,22.0,7月28日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A850592E25,小林　隆,,,,太陽光,49.5,滋賀県彦根市稲枝町７０,0,51.2,7月28日2014年,2015年10月,-,-,外部積立て,-,2035年8月
A850620E25,株式会社　ウッドソレル,堀　洋子,近江八幡市堀上町２５２番地,0748-31-0051,太陽光,29.7,滋賀県近江八幡市堀上町２２８－３,0,29.7,7月28日2014年,2015年9月,-,-,外部積立て,-,2035年7月
A850627E25,北村興産株式会社,北村　博,大阪市淀川区新高１－１０－１３－６０１,06-6399-7872,太陽光,48.7,滋賀県彦根市大薮町１４５７,1,60.1,7月28日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A850637E25,大坂　定雄,,,,太陽光,39.6,滋賀県高島市新旭町藁園２４１２－１,0,45.9,7月28日2014年,2015年9月,-,-,外部積立て,-,2035年7月
A850670E25,株式会社　三峰環境サービス,三峰　誠植,湖南市三雲３６－２,0748-72-7717,太陽光,29.7,滋賀県湖南市三雲３６－２,0,31.5,7月28日2014年,2015年1月,-,-,外部積立て,-,2034年10月
A850680E25,勝見　和明,,,,太陽光,28.9,滋賀県蒲生郡日野町大字西大路２４９２－３７,0,29.0,7月28日2014年,2014年11月,-,-,外部積立て,-,2034年10月
A850687E25,三浦　大介,,,,太陽光,30.0,滋賀県野洲市野田１７２９－２,0,30.0,7月28日2014年,2015年4月,-,-,外部積立て,-,2035年3月
A850692E25,タケダ工業株式会社,武田　祐一,東近江市山上町２８３３,0748-27-1565,太陽光,39.6,滋賀県東近江市山上町２８３３,0,40.5,7月28日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A850737E25,株式会社　Ｋルーム,加藤　正弘,大津市国分１丁目２７－３２,077-534-1623,太陽光,49.5,滋賀県大津市国分１－２７－３１,0,55.0,7月28日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A850813E25,農事組合法人　Ｌファームきお,岩口　裕,長浜市木尾町１０２２,0749-74-2763,太陽光,49.5,滋賀県長浜市木尾町１０２２,0,54.0,7月28日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A850815E25,中島　種利,,,,太陽光,49.5,滋賀県甲賀市信楽町黄瀬２０１２－１,0,49.5,7月28日2014年,2015年3月,-,-,外部積立て,-,2035年2月
A850816E25,中島　太久雄,,,,太陽光,49.5,滋賀県愛知郡愛荘町東円堂字仲切２５２５,0,54.0,7月28日2014年,2016年3月,-,-,外部積立て,-,2036年2月
A851018E25,有限会社　森野自動車,森野　正巳,東近江市躰光寺町６,0748-42-0009,太陽光,34.0,滋賀県東近江市躰光寺町６,0,39.2,7月28日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A851019E25,甲田　勝重,,,,太陽光,36.0,滋賀県大津市伊香立下龍華町字金田８０４－１,0,37.8,7月28日2014年,2014年10月,-,-,外部積立て,-,2034年8月
A851026E25,滋賀建機　株式会社,蔭山　明夫,愛知郡愛荘町中宿１６０－１,0749-42-8778,太陽光,49.5,滋賀県東近江市五個荘北町屋町１６０,0,57.3,7月28日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A851028E25,株式会社　近江屋,柳本　勝弘,彦根市南川瀬町８００－１,0749-25-0020,太陽光,27.5,滋賀県彦根市南川瀬町８００－３,0,32.3,7月28日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A851033E25,有限会社北伊ホームガス,北川　伊佐男,彦根市高宮町２４１８,0749-22-6244,太陽光,30.0,滋賀県彦根市高宮町２４１８,0,30.0,7月28日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A851152E25,向井　靖弘,,,,太陽光,35.1,滋賀県東近江市蒲生寺町２１１,0,35.1,7月28日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A851183E25,東邦窯業株式会社,東野　哲男,愛知郡愛荘町東円堂５３３－２,0749-42-2801,太陽光,39.6,滋賀県愛知郡愛荘町東円堂５３３－２,0,45.0,7月28日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A851192E25,河野　秀人,,,,太陽光,48.0,滋賀県大津市坂本８－４１３０－１,0,50.8,7月28日2014年,2016年4月,-,-,外部積立て,-,2036年2月
A852016E25,株式会社ヤマモト産業,山本　則雄,甲賀市信楽町勅旨２２０７－２,,太陽光,49.5,滋賀県甲賀市信楽町神山２１２５,0,58.5,8月14日2014年,2016年6月,-,-,外部積立て,-,2036年2月
A852022E25,中野　裕子,,,,太陽光,49.5,滋賀県高島市マキノ町山中４８,0,57.7,8月14日2014年,2015年7月,-,-,外部積立て,-,2035年5月
A852073E25,出口　善章,,,,太陽光,26.6,滋賀県甲賀市水口町高塚５４８２－１,0,26.7,8月14日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A852133E25,田中壁産工業,田中　佐平,東近江市下岸本町３７６,0749-45-0474,太陽光,38.5,滋賀県東近江市小田苅町２６６５－１,0,42.6,8月14日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A852157E25,竹中食品株式会社,竹中　庄蔵,長浜市田村町１２３４,0749-62-3188,太陽光,23.6,滋賀県長浜市平方町８９０－２,0,28.0,8月14日2014年,2014年10月,-,-,外部積立て,-,2034年9月
A852208E25,タカヒサ不動産　株式会社,上西　保,湖南市三雲４１８,0748-72-0001,太陽光,32.0,滋賀県甲賀市水口町北脇４５０－１,1,35.0,8月14日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A852234E25,株式会社ココモ,一丸　文孝,滋賀県彦根市大堀町４３４－３,0749-30-3620,太陽光,22.0,滋賀県彦根市大堀町４３２－１,0,22.0,8月14日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A852906E25,株式会社　栄,山本　竹一,高島市音羽４５０－１,0740-36-1326,太陽光,49.2,滋賀県高島市音羽字中村７４５－３,0,51.4,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年10月
A852922E25,大和電装株式会社,津田浩司,愛知郡愛荘町蚊野外１７,0749-37-3443,太陽光,20.4,滋賀県愛知郡愛荘町蚊野外１７,0,20.4,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A852923E25,森田　秀次,,,,太陽光,31.5,滋賀県甲賀市甲賀町岩室１３７１,0,35.2,8月22日2014年,2015年4月,-,-,外部積立て,-,2035年3月
A852928E25,株式会社丸長食品,金井　長光,大津市尾花川１３－１４,077-524-5055,太陽光,38.5,滋賀県大津市尾花川１３－１４,0,41.0,8月22日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A852991E25,吉田　雅樹,,,,太陽光,29.7,滋賀県彦根市甘呂町９０６－１,0,29.7,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A853027E25,丸安茶業株式会社,前野　安司,甲賀市土山町頓宮２６７,0748-67-0015,太陽光,28.8,滋賀県甲賀市土山町頓宮２５３,0,32.4,8月22日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A853047E25,松山　清文,,,,太陽光,37.0,滋賀県彦根市高宮町７８７－１,0,43.7,8月22日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A853075E25,株式会社　　関西技研,布川茂,甲賀市甲賀町大原市場５１５番地,0748-88-2496,太陽光,34.0,滋賀県甲賀市甲賀町大原市場５１５,0,34.7,8月22日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A853140E25,辻　初子,,,,太陽光,42.0,滋賀県近江八幡市船木町１３７９,0,42.0,8月22日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A853155E25,岡田　全弘,,,,太陽光,22.0,滋賀県大津市瀬田５－字杉谷１５８－２,2,24.0,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A853158E25,岡田　全弘,,,,太陽光,21.0,滋賀県大津市瀬田５－１４－１　リバーサイドヒルズ,0,21.0,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年9月
A853186E25,株式会社才川食品店,才川　眞幸,高島市安曇川町西万木８１４番地２,0740-32-2907,太陽光,30.0,滋賀県高島市安曇川町西万木８１４－５,0,34.7,8月22日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A853194E25,大栄土木　株式会社,志井安男,近江八幡市安土町石寺１２９７,0748-46-4697,太陽光,45.6,滋賀県近江八幡市安土町石寺１２９７,0,48.9,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年8月
A853195E25,山口　信造,,,,太陽光,49.5,滋賀県甲賀市甲賀町岩室１０２７,0,55.0,8月22日2014年,2015年6月,-,-,外部積立て,-,2035年4月
A853220E25,奥村　美津代,,,,太陽光,22.5,滋賀県甲賀市水口町春日５４４,0,26.0,8月22日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A853249E25,有限会社ケンセイ,馬場　憲一,東近江市下里町１２１番地８,0749-45-1173,太陽光,38.9,滋賀県東近江市下里町１２１－８,0,41.4,8月22日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A853349E25,日野川流域土地改良区,西田　秀治,滋賀県蒲生郡竜王町山之上５７７５番地,0748-57-1717,太陽光,49.7,滋賀県近江八幡市野村町２０３２－１４３,0,51.0,8月22日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A853351E25,日野川流域土地改良区,西田　秀治,滋賀県蒲生郡竜王町山之上５７７５番地,0748-57-1717,太陽光,40.0,滋賀県蒲生郡竜王町山之上５７７５,0,40.5,8月22日2014年,2016年4月,-,-,外部積立て,-,2036年2月
A853369E25,株式会社　オーエスボディーワーク,大島　康嗣,大津市下阪本６丁目１１－９,077-578-2548,太陽光,20.0,滋賀県大津市下阪本６-１１-９,0,22.2,8月22日2014年,2014年11月,-,-,外部積立て,-,2034年10月
A853391E25,株式会社ミフク,馬場　義尚,彦根市高宮町１２０２,0749-22-0021,太陽光,33.0,滋賀県彦根市高宮町１２０２,0,36.0,8月22日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A854193E25,びわ湖放送株式会社,馬場　章,大津市鶴の里１６番１号,077-524-0151,太陽光,49.5,滋賀県大津市鶴の里１６－１,0,56.2,8月22日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A854218E25,山下　高志,,,,太陽光,23.3,滋賀県甲賀市甲賀町上野１１０６－３,1,25.2,8月22日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A854224E25,西川　一男,,,,太陽光,29.7,滋賀県東近江市尻無町７７７－１,0,29.7,8月22日2014年,2015年4月,-,-,外部積立て,-,2035年3月
A854229E25,守山市,宮本　和宏,,,太陽光,30.8,滋賀県守山市幸津川町１４０６,0,31.2,8月22日2014年,2015年1月,-,-,外部積立て,-,2034年12月
A854471E25,稲田　尚三郎,,,,太陽光,27.4,滋賀県大津市大萱５－字田葭２８０８－１の一部,0,27.4,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A854473E25,前田　恵美子,,,,太陽光,42.0,滋賀県草津市草津２－字北中ノ町１３７８－３,2,42.0,8月28日2014年,2015年6月,-,-,外部積立て,-,2035年4月
A854497E25,川口設計管理事務所,川口雅弘,東近江市小脇町１７９６－３,0748-23-0788,太陽光,22.0,滋賀県東近江市小脇町１７９６－３,0,24.6,8月28日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A854500E25,辻　いく子,,,,太陽光,23.0,滋賀県東近江市東沖野２－６－８,0,25.5,8月28日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A854501E25,株式会社　丸安商事,安井　肇,蒲生郡竜王町綾戸３２１,0748-57-0125,太陽光,49.5,滋賀県蒲生郡竜王町岩井１０,0,51.2,8月28日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A854529E25,青木　義春,,,,太陽光,47.2,滋賀県湖南市正福寺字宮ノ口１３０９－８９,0,49.9,8月28日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A854539E25,北川ラベル印刷　株式会社,北川　稔,米原市吉槻１３５４番地,0749-59-0316,太陽光,49.5,滋賀県米原市高溝２６４‐１,0,58.5,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A854552E25,平林　克之,,,,太陽光,39.6,滋賀県東近江市一式町３３８－１,0,44.0,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A854553E25,平林　克之,,,,太陽光,39.0,滋賀県東近江市蛇溝町１６４４,0,39.0,8月28日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A854616E25,若林　冨美子,,,,太陽光,30.0,滋賀県彦根市大藪町横田２４７０,0,30.7,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年12月
A854624E25,飯田　冶一,,,,太陽光,32.8,滋賀県甲賀市甲南町市原１３０－１,0,35.6,8月28日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A854634E25,古澤　力,,,,太陽光,49.5,滋賀県長浜市東上坂町１５５０－１,1,49.5,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A854651E25,中西　保夫,,,,太陽光,31.5,滋賀県蒲生郡日野町小御門４６３－３,0,134.6,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A854679E25,株式会社杉本商事,珍道　直人,滋賀県彦根市南川瀬町７７１,0749-28-9206,太陽光,39.6,滋賀県犬上郡甲良町在士６８４－１,0,46.4,8月28日2014年,2015年1月,-,-,外部積立て,-,2034年12月
A855481E25,有限会社　かじ徳,代表取締役　清水　道治,東近江市東沖野１－１－１１,0748-22-1547,太陽光,49.4,滋賀県東近江市東沖野１－１－１１,0,50.7,9月10日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A855482E25,有限会社　かじ徳,代表取締役　清水　道治,東近江市東沖野１－１－１１,0748-22-1547,太陽光,49.4,滋賀県東近江市沖野４－１－６,0,50.7,9月10日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A855484E25,西橋　幹子,,,,太陽光,27.5,滋賀県長浜市内保町１８７５,0,27.5,9月10日2014年,2014年12月,-,-,外部積立て,-,2034年11月
A855563E25,古内　清和,,,,太陽光,39.6,滋賀県高島市安曇川町青柳２１９５－３３,1,53.0,9月10日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A855564E25,武智　一勝,,,,太陽光,39.6,滋賀県高島市安曇川町青柳２１９５－３４,1,53.0,9月10日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A855658E25,株式会社エコネットサービス,高田　隆司,八幡市男山長沢１３－１４,075-983-3355,太陽光,45.5,滋賀県高島市マキノ町中庄字宮崎１２３１－２,0,49.0,9月10日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A855760E25,有限会社ガイアリンク,原田　朋浩,滋賀県近江八幡市安土町下豊浦５０９６－３１,0748-46-2007,太陽光,33.0,滋賀県近江八幡市安土町下豊浦５０９６－３１,0,34.8,9月10日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A855772E25,株式会社トリム,立岡昭夫,甲賀市土山町北土山１５２０番地２,0748-66-8208,太陽光,22.6,滋賀県甲賀市土山町大字北土山字瀬古口１５１０,0,22.7,9月10日2014年,2014年11月,-,-,外部積立て,-,2034年10月
A855811E25,株式会社レクシード,原田　弘一,京都府京都市山科区大宅早稲ノ内町１７９,075-582-5300,太陽光,49.5,滋賀県大津市南小松１０９７－８,0,61.8,9月10日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A855843E25,岡田建設,岡田豊,彦根市小泉町２８５－１７,0749-23-8622,太陽光,49.5,滋賀県彦根市川瀬馬場町字ベベト１４４７,0,66.3,9月10日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A856830E25,北川木工株式会社,北川　晃一,長浜市木之本黒田６２８,,太陽光,49.5,滋賀県長浜市木之本町黒田６２８,0,49.5,9月17日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A856846E25,愛西土地改良区,黒澤　茂樹,滋賀県彦根市薩摩町３３７,0749-43-2261,太陽光,20.0,滋賀県彦根市薩摩町３３７,0,20.0,9月17日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A856906E25,新協化成工業株式会社,宮田　豊治,湖南市朝国５０４,0748-72-0228,太陽光,30.0,滋賀県湖南市岩根１２９３－１,0,32.4,9月17日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A856910E25,園田　良雄,,,,太陽光,49.1,滋賀県湖南市岩根１１３４,0,49.9,9月17日2014年,2015年3月,-,-,外部積立て,-,2035年1月
A856936E25,谷本　淳,,,,太陽光,49.5,滋賀県高島市武曽横山２１９２－１,0,58.5,9月17日2014年,2016年1月,-,-,外部積立て,-,2035年11月
A857012E25,谷田　英司,,,,太陽光,20.3,滋賀県大津市向陽町１４‐１４,0,20.4,9月17日2014年,2015年3月,-,-,外部積立て,-,2035年2月
A857021E25,有限会社宮川石油,宮川　博史,犬上郡豊郷町吉田１４８０－５,0749-35-2561,太陽光,30.2,滋賀県愛知郡愛荘町安孫子９４３－１,3,31.6,9月17日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A857058E25,木田　徹也,,,,太陽光,39.6,滋賀県蒲生郡日野町仁本木７１６－１３,1,41.6,9月17日2014年,2015年7月,-,-,外部積立て,-,2035年6月
A857081E25,平林　里佳,,,,太陽光,23.2,滋賀県蒲生郡日野町村井字馬見分１９８４－１７,0,23.2,9月17日2014年,2016年7月,-,-,外部積立て,-,2036年6月
A857122E25,株式会社　アイテム,小林　孝史,甲賀市水口町北泉１丁目１４５番地,0748-65-0555,太陽光,26.0,滋賀県甲賀市水口町北泉１－１４５,0,26.0,9月17日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A857274E25,株式会社　大森商会,大森薫,甲賀市土山町北土山５３６,0748-66-1166,太陽光,49.5,滋賀県湖南市吉永３２８,0,51.7,9月17日2014年,2015年4月,-,-,外部積立て,-,2035年1月
A857295E25,株式会社匠,松宮巧,高砂市神爪５－２４－８,079-431-4187,太陽光,39.6,滋賀県甲賀市信楽町神山２１６７－２,0,49.9,9月17日2014年,2016年4月,-,-,外部積立て,-,2036年2月
A857642E25,有限会社宮川石油,宮川　博史,犬上郡豊郷町吉田１４８０－５,0749-35-2561,太陽光,46.0,滋賀県犬上郡豊郷町吉田１４７９,2,46.0,9月17日2014年,2016年4月,-,-,外部積立て,-,2036年2月
A857666E25,那須　将利,,,,太陽光,29.5,滋賀県彦根市平田町４２１,0,29.5,9月17日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A857724E25,平川　祐希,,,,太陽光,30.3,滋賀県蒲生郡日野町小井口１０２－２５,0,30.3,9月17日2014年,2015年5月,-,-,外部積立て,-,2035年4月
A857740E25,近成　由佳,,,,太陽光,49.5,滋賀県甲賀市信楽町神山２１２６,0,58.5,9月17日2014年,2016年5月,-,-,外部積立て,-,2036年2月
A857758E25,宮川仏壇株式会社,宮川　清,彦根市小泉町７８－４,0749-23-6700,太陽光,49.1,滋賀県彦根市小泉町７８－４,0,49.1,9月17日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A857797E25,田中肥料株式会社,田中　収,野洲市比留田７８,077-589-2118,太陽光,27.0,滋賀県野洲市西河原３１３－３,0,27.0,9月17日2014年,2014年12月,-,-,外部積立て,-,2034年10月
A857806E25,株式会社ライフクリエイト,澤田　容延,大阪市北区西天満６－１－２千代田ビル別館２号館２階,075-861-8645,太陽光,35.5,滋賀県大津市伊香立下龍華町４４－３,0,35.5,9月17日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A857835E25,今堀　修,,,,太陽光,49.5,滋賀県蒲生郡竜王町山之上３４２３,0,55.0,9月17日2014年,2015年5月,-,-,外部積立て,-,2035年2月
A857858E25,尾本　美枝子,,,,太陽光,22.0,滋賀県彦根市西今町字下九反田３２４,0,22.3,9月17日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A858737E25,山田　博文,,,,太陽光,24.5,滋賀県彦根市原町５９３－１２,0,25.9,10月1日2014年,2015年2月,-,-,外部積立て,-,2035年1月
A858743E25,中村　喜浩,,,,太陽光,42.5,滋賀県愛知郡愛荘町東出５１,0,42.5,10月1日2014年,2015年1月,-,-,外部積立て,-,2034年11月
A858747E25,安井　厚,,,,太陽光,44.0,滋賀県甲賀市土山町南土山字宮西甲２９８－１,0,49.9,10月1日2014年,2015年5月,-,-,外部積立て,-,2035年3月
A858762E25,田中　正隆,,,,太陽光,37.0,滋賀県東近江市市原野町字里川３６５５,2,37.0,10月1日2014年,2015年4月,-,-,外部積立て,-,2035年2月
A858828E25,宮部鉄工株式会社,濱口　浩一,彦根市東沼波町１１３１,0749-22-2001,太陽光,24.5,滋賀県彦根市東沼波町１１３１,0,24.5,10月1日2014年,2015年2月,-,-,外部積立て,-,2034年12月
A858834E25,内藤電気　株式会社,内藤　哲也,綴喜郡宇治田原町立川北垣内４４－６,0774-88-5051,太陽光,49.5,滋賀県高島市マキノ町西浜字杉ヶ町９５２－１,0,49.5,10月1日2014年,2017年12月,-,-,外部積立て,-,2037年10月
A858839E25,株式会社カーション,北野　悦司,大阪市中央区谷町５丁目４番１－１００５号,,太陽光,39.6,滋賀県蒲生郡日野町中山字徳原７４７－４０２,0,39.6,10月1日2014年,2016年7月,-,-,外部積立て,-,2036年5月
A858855E25,株式会社　智財,加藤　明久,米原市多和田１０３４－２,0749-54-0823,太陽光,39.6,滋賀県米原市多和田１０３４－２,0,39.6,10月1日2014年,2015年7月,-,-,外部積立て,-,2035年5月
